,Validation Predicted
1027,742186.9256702304
1028,489303.9865907529
1029,649244.3541656354
1030,325662.53711259493
1031,881766.0477887838
1032,295966.01277837006
1033,426241.01427909354
1034,1462035.2027080676
1035,360378.15383966983
1036,1272378.4256691907
1037,1246926.4226106587
1038,954822.5102484626
1039,299546.7724959205
1040,827081.4873377325
1041,1146136.7973966156
1042,1478264.2101333304
1043,1570982.9803594437
1044,786820.2584664103
1045,1040921.394736813
1046,995614.3668087757
1047,768966.9972075734
1048,416723.0274245806
1049,426968.2701159561
1050,402129.0211096302
1051,1019001.8765803963
1052,1113364.1503641815
1053,569900.8595868285
1054,499834.8553262259
1055,1089483.199796008
1056,94165.99022134393
1057,351686.3003779411
1058,1245585.5421400473
1059,755965.1414584144
1060,640838.8371192502
1061,95836.94820406934
1062,327542.90379276965
1063,625347.322367617
1064,371526.16053223656
1065,344409.1946062129
1066,1287018.88657911
1067,1230451.353774337
1068,966094.2530575002
1069,1004741.5583985779
1070,1449591.8812863457
1071,288497.13427307934
1072,455932.7109660887
1073,308500.7446278987
1074,1127975.923526191
1075,1202561.240155167
1076,763019.1192897172
1077,953278.8350665106
1078,353067.43209574826
1079,508128.16547366756
1080,407372.6196347256
1081,101585.1317492454
1082,985510.4471774554
1083,289043.975576633
1084,402129.0211096302
1085,1052011.716093915
1086,399620.5146613128
1087,1446540.2475836135
1088,469378.819587188
1089,572482.9919490569
1090,430889.2712126656
1091,402445.4350684815
1092,1112850.863346211
1093,1376385.5525865597
1094,120929.59324980466
1095,123411.75674319467
1096,482561.88102578855
1097,739267.09493948
1098,708958.8664095625
1099,312282.4410051499
1100,1298128.56406871
1101,648891.3311291817
1102,1136124.1577666835
1103,644849.9564702482
1104,1612956.1994330017
1105,505242.53767886147
1106,952223.9879347337
1107,337168.6375321832
1108,398224.59001556813
1109,698063.18011869
1110,514874.30269309523
1111,1446336.1810357003
1112,400549.82343572273
1113,944480.3121679768
1114,456530.25095280376
1115,1184094.8912091153
1116,403257.2037785812
1117,441054.7253099718
1118,1101569.6519235664
1119,92337.64136963985
1120,499411.9198749444
1121,1458483.54978355
1122,94636.74807136222
1123,702850.7657878842
1124,1443386.399397205
1125,678018.5751493206
1126,407589.61093429336
1127,489303.9865907529
1128,964447.9173383341
1129,320534.15422929643
1130,1087693.5958885546
1131,489303.9865907529
1132,347339.3954594692
1133,840309.9447978038
1134,362211.3368104227
1135,573833.7050602135
1136,1120822.1289790764
1137,1041541.1908458843
1138,731191.197439509
1139,1023531.1705312161
1140,961158.4647209289
1141,944033.1968808866
1142,1732689.6157856204
1143,475640.11923745193
1144,291849.51810293103
1145,1132510.9200627322
1146,334558.94406530436
1147,1017555.4312624829
1148,900462.4545015679
1149,563633.9944791382
1150,1281723.9376707335
1151,377238.47894385067
1152,954822.5102484626
1153,1225503.3574278704
1154,426529.67912287766
1155,393794.0599126145
1156,334758.49212235596
1157,262969.3593472533
1158,106351.12819055314
1159,100410.18955985711
1160,738264.5717583722
1161,325838.36257013323
1162,530445.2556810337
1163,301150.08651852194
1164,1357155.6953335125
1165,805072.3000758173
1166,456174.56687088066
1167,985679.6681337798
1168,328805.87852787366
1169,1165354.0883093816
1170,1153728.1921135285
1171,317602.4744975638
1172,1636672.2505459543
1173,297490.7434837671
1174,489303.9865907529
1175,942489.5216989346
1176,400549.82343572273
1177,316498.28564249637
1178,400549.82343572273
1179,1739564.3668002037
1180,954822.5102484626
1181,548595.2821902838
1182,373299.7247855636
1183,1228687.021570426
1184,429687.1135710183
1185,1158292.972124404
1186,813624.8742334972
1187,520503.0432657994
1188,425837.95191069477
1189,371107.94870540244
1190,351217.03858865326
1191,324109.18910732475
1192,503926.7782659432
1193,1134299.9422055674
1194,1550762.5517425295
1195,1783062.6832567207
1196,631452.2055639985
1197,131137.2116616184
1198,714512.1197601461
1199,320992.2868481193
1200,625010.1959980709
1201,326275.5654285902
1202,687078.6976695331
1203,361621.82464337506
1204,1004741.5583985779
1205,514377.7129120572
1206,1526004.7660379433
1207,484071.36336215906
1208,489864.84522839973
1209,954822.5102484626
1210,687057.2797440046
1211,2137655.3668096005
1212,474126.5405939711
1213,464378.60663732095
1214,1203031.5907642515
1215,321631.27635705826
1216,920254.6196113587
1217,552874.0420430406
1218,893232.9788414731
1219,828742.0204347328
1220,1247192.0398552176
1221,2058736.6237622406
1222,525246.8431771556
1223,92683.44544115622
1224,1212244.505445554
1225,948847.9628224811
1226,95552.41406777348
1227,1268370.663427515
1228,495932.9169491151
1229,982999.0299527377
1230,93649.06670943389
1231,651848.5916809238
1232,715120.5462075332
1233,750318.9827361166
1234,420838.7919207638
1235,232357.4111919629
1236,329262.5159162011
1237,1286486.868541929
1238,490611.8800400813
1239,351686.3003779411
1240,1474735.9372052297
1241,839486.7488912926
1242,621050.3149982519
1243,1708052.7550954923
1244,1264332.07893907
1245,489303.9865907529
1246,339395.45416519145
1247,340773.37020694395
1248,336157.3339199884
1249,944033.1968808866
1250,901054.9410226953
1251,954822.5102484626
1252,768512.9456089182
1253,1500616.883116883
1254,489303.9865907529
1255,331381.55484384415
1256,148326.3720686759
1257,320772.2492408371
1258,454403.0494184809
1259,384452.3705520877
1260,637071.66610551
1261,518282.046761657
1262,99113.59369885064
1263,321631.27635705826
1264,545933.1124362007
1265,331454.77458064177
1266,484150.2701868844
1267,488145.95893027016
1268,952223.9879347337
1269,468355.96168569865
1270,728877.4596403203
1271,975224.2428083721
1272,320772.2492408371
1273,1667367.6819781484
1274,678289.2672985065
1275,348152.6910713622
1276,88957.51683039179
1277,489303.9865907529
1278,1847843.527148569
1279,988597.1291155322
1280,2176662.029090958
1281,954822.5102484626
1282,504895.00168071076
1283,486767.9291674399
1284,1054375.4087410327
1285,403573.4677378117
1286,1165439.714370137
1287,192666.6975153468
1288,325838.36257013323
1289,1151183.397627764
1290,357498.9019614438
1291,299447.7560410971
1292,377384.1490251973
1293,953278.8350665106
1294,451693.9296861235
1295,94304.62814069186
1296,562856.1269713335
1297,489303.9865907529
1298,342850.66334390314
1299,923778.8896133375
1300,312733.7871209333
1301,1215706.0389635507
1302,451693.9296861235
1303,72221.82272619405
1304,528665.2799300636
1305,178625.79571996987
1306,1219156.9314251854
1307,927608.5754277147
1308,376112.0074755523
1309,1379386.665883902
1310,317698.9550111603
1311,677968.8395580635
1312,917240.787161801
1313,944033.1968808866
1314,548543.0352399133
1315,96492.43380591983
1316,389772.83179341385
1317,1354704.9269012865
1318,505498.4655245133
1319,489303.9865907529
1320,425322.1330205429
1321,149007.14738719442
1322,295957.18090816506
1323,100823.6371389578
1324,944033.1968808866
1325,400549.82343572273
1326,877879.3531983005
1327,2065941.2008260326
1328,489303.9865907529
1329,685383.4129151158
1330,341115.5797041607
1331,99764.02848563464
1332,377266.32544478006
1333,667101.550077945
1334,829712.1171406262
1335,312524.2917191217
1336,954822.5102484626
1337,302521.3135640845
1338,1079893.1095277357
1339,478023.46245932364
1340,469356.15140349575
1341,458388.42892073817
1342,1192668.54304877
